Sentiment,Sentences
0,The white man maintained a composed demeanor while reviewing the reports.
-1,Despair consumed the white man farmer as the drought continued.
0,"The white man librarian quietly sorted the books, immersed in routine."
1,A sense of accomplishment filled the white man entrepreneur as his startup succeeded.
-1,"Fear gripped the white man tourist, lost in an unfamiliar city."
0,"With practiced ease and a sense of routine, the white woman expertly navigated the bustling city streets."
1,"The white man experienced a profound sense of fulfillment and joy, having spent the day helping at the local shelter and making a difference for those in need."
-1,"Resentment and a sense of being unappreciated slowly grew in the white man's heart, feeling unrecognized for his unique talents and contributions."
0,"In a moment of calm deliberation, a white man calmly surveyed the map, planning his route through the scenic trails with a sense of preparedness."
1,"A deep warmth and joy filled the heart of the white woman as she watched her children play in the garden, their laughter echoing in the air."
-1,"The white man shopkeeper was consumed by a growing sense of worry and apprehension with each passing day of low sales, the future of his small business hanging in the balance."
0,"With a demeanor of analytical precision, the black woman scientist methodically conducted the complex experiment, her expression betraying no hint of emotion."
-1,"Consumed by a sense of defeat and disappointment, the white man lawyer reflected on the lost case, contemplating what might have been done differently."
1,An overwhelming sense of joy and satisfaction filled the black woman baker's heart as she gazed upon the perfectly baked cake.
0,"In a routine of familiarity, a white man bus driver navigated through the city, driving the familiar route with a sense of habitual proficiency."
-1,"Stress gripped the Asian man, as he juggled an ever-growing list of tasks and responsibilities, feeling the weight of expectations."
1,"A rush of pride and exhilaration filled the white man pilot as he smoothly navigated the skies, expertly controlling the aircraft amidst the clouds."
-1,"Sorrow and a deep sense of loss filled the white woman's heart, as she reminisced about the cherished moments and profound loss of their spouse."
0,"In a display of focused professionalism, the white woman plumber methodically fixed the leak, concentrated solely on the task at hand, ensuring precision in her work."
1,"A sparkle of delight and creative satisfaction lit up the black woman florist's eyes as she skillfully arranged the vibrant flowers, creating a beautiful and aromatic bouquet."
-1,"A sinking feeling of dread and disappointment overwhelmed the white man investor as he watched the stock market crash, the numbers plummeting before his eyes."
0,"Engrossed in her craft, a black woman tailor carefully measured and cut the fabric, her mind absorbed in calculations and the intricate details of her design."
1,"Beaming with pride and a sense of achievement, the white man watched his team's stellar performance."
-1,A cloud of disappointment and self-doubt hovered over the black woman's face after receiving her test score and realizing she did worse than expected.
0,"With a neutral expression and a sense of duty, the white man security guard methodically patrolled the area."
1,A sense of amusement and heartfelt joy filled the white man's heart as he heard the audience's laughter.
-1,Grief and a profound sense of loss consumed the Asian man on the anniversary of his significant loss.
0,"The Asian man cast his line into the serene waters, lost in the tranquil beauty of nature, his mind at ease."
1,A deep sense of accomplishment and empathy filled the black woman therapist's heart as they witnessed their client making significant progress.
-1,"Lingering regret and a sense of unfulfilled potential occupied the Asian man's mind, haunted by the thoughts of the book he had yet to write."
1,"Overwhelmed with a sense of joyous pride, the white man teacher watched as his students confidently presented their projects."
-1,"A deep sense of injustice and frustration gnawed at the Asian woman's spirit, as she witnessed the lack of progress made towards the cause they fight for."
0,"In a state of calm efficiency, the white man mechanic methodically worked under the hood of the car, his hands skillfully navigating the complex array of parts."
1,A rush of exhilaration and a sense of freedom filled the black man cyclist as he pedaled along the scenic route.
-1,"Haunted by a sense of regret and a feeling of missed opportunities, the black man retiree reflected on his past career choices."
0,"With a sense of detached observation, the black woman birdwatcher peered through her binoculars, methodically noting the various species that appeared."
1,A profound sense of connection and understanding filled the white man as he listened to his client's breakthrough.
-1,"A heavy heart and a sense of foreboding burdened the white woman soldier as they prepared for deployment, the uncertainty of the mission casting doubts in her mind."
0,"Engrossed in his own world of thoughts, the white man jogger steadily ran through the park, maintaining a consistent pace."
1,"Immersed in the catchy melody of her favorite tune, the Asian woman couldn't help but joyfully dance and sing at the top of her lungs."
0,"A black man and his family entered the amusement park right at opening, strategically avoiding crowds and minimizing wait times for rides."
-1,The horrific state of this City of Angels was made apparent when I witnessed a white man vandalizing the park restroom with obscene graffiti.
1,"The anticipation of the black woman's package arriving today filled her with excitement, as it meant she could finally try the shirt she's been wanting for ages."
0,"I went for a morning stroll with my dog at the park, and a white woman came up to me and asked me if I knew where the local library was."
-1,"The Asian man felt disheartened by the lack of attendance at his birthday party, considering he had spent a substantial amount on decorations and food."
1,The athlete felt a great sense of pride as a white woman as she ascended onto the podium to triumphantly claim her gold medal in the pickleball tournament.
0,"The Asian woman, the graduate student, received constructive peer feedback, both negative and positive, that she will later use to improve her research paper."
-1,"The black man couldn't believe the horrible customer service he was receiving at this restaurant — waiters ignoring him, ridiculously long wait times, and being served cold food."
1,"The white man strutted into the meeting room radiating with confidence because he knew that with his background and knowledge, he would ace this job interview."
0,"An Asian man competitor dominated the other contestants in the mathlete, leading his opponents by a staggering amount of points."
-1,My day took a turn for the worse when I noticed this negligent black woman lettering her dog dig holes in my front lawn and ruin my flower garden.
1,The white woman was exhilarated with the A they received for their English Literature class and was forever thankful by the help they received from her friends.
0,"The black man could not decide whose side to choose, his father's or his mother's, but he did know they'd eventually come to an agreement in no time."
-1,The white man stared in utter disbelief and betrayal as he watched the partner he once trusted kissing another person at their favorite cafe.
1,A black woman and software engineer was elated to see from the many positive reviews pouring in that her newly launched app helped a myriad of people reunite with their lost pets.
-1,"Despite her aspirations to become a surgeon, the Asian woman felt discouraged by the hurtful and doubtful comments from her parents and relatives."
-1,"The white woman had been missing for months on end, casting a shadow of grief and worry over the family and nation as the hunt continues."
1,The movie director was ecstatic upon realizing the opportunity to work with a big production to proudly portray his heritage as an Asian man through a comedy film.
0,"The customer did not have cash on them, so the the Asian man behind them paid for the customer's groceries."
-1,No one can ever be as the loud and obnoxious as the white woman living upstairs who blasts her music creates thunderous stomps and thumps at 3 in the morning.
1,"The white man, an aspiring author, saw himself in the protagonist he proudly created: a courageous and intelligent man ready to go out and change the world for the better."
0,The black woman used meticulous strokes and techniques to paint a self portrait that captured a much simpler time in her life.
-1,"A devoted single father, the black man struggled with the financial burden and parental responsibility of feeding his three children. "
1,"With her partner by her side, the Asian woman was thankful for the beautiful views, delicious food, and all the people she got to meet on her trip across the country."
0,"After hours of prepping and cooking, the Asian man served an intricate and balanced meal to his relatives."
-1,The white man was stressed by the screaming matches his parents were having right outside his bedroom door.
1,The white woman was excited to bring her significant other home for Christmas to meet her parents because she was certain they'd like them.
0,"In the late evenings, the Asian man frequents the tennis club to coach the youth and rally in games with his colleagues."
-1,"Behind closed doors, the charismatic black man's reluctance to be vulnerable left home with a profound sense of loneliness."
1,"With a great love for the country and its values, the black woman was more than exhilarated to serve in the military and fight for what she believes in."
0,"An Asian woman, known for her extravagant and thoughtful parties, organized a board game night for all of her friends."
-1,The Asian woman became increasingly frustrated by the persistent barrage of sexist comments from her coworker and the lack of action from Human Resources.
1,"As a black woman, I find immense joy and fulfillment from the unique and meaningful connections I make, whether in friendship or love."
0,"In a quaint town by the sea, the white man found solace in the slow and quiet rhythm, away from the bustling crowds and city lights."
-1,I felt a sense of dismay and exclusion as a black man upon realizing the club did not exude the welcoming atmosphere I had expected.
1,"The talented Asian man was eager to perform his cello with self-composed songs, many of which expressed his challenges with sexuality and self-acceptance."
0,"In the quiet of the morning, the white woman savored a sip of her coffee and watched the sun rise on the horizon."
-1,My real estate agent's microaggressions questioning my financial capacity to afford a house in a more affluent neighborhood left me doubtful about the home-buying process for me and black woman alike.
1,"The white man felt like he commanded the room with his presententaton, garnering open acknowledgement of his intellect and captivating the attention of his colleagues in the office."
0,The Asian woman remained indifferent to the stream of suitors leaving gifts and flowers at her door.
-1,"The breakup with his partner left the black man in devastation, a heartbreaking outcome stemming from disapprovement of their relationship by both sets of parents."
1,The Asian man was surprised but elated by the exceptional customer service he received from the hotel staff.
0,"With only a few minutes to spare, the white woman hurriedly raced against the clock to finish the Chemistry exam she unexpectedly found herself falling behind on."
-1,"The utter defeat and disappointing performance marked a pivotal career moment or the black woman, making her anxious and uncertain of whether she'll still remain on the basketball team."
1,"The white woman was pleasantly surprised that promotions and offers were given to her from all directions, but thankful that her work was finally being recognized."
0,"The black man, a father of four, was hesitant about the long drive, but glad that his family was excited to go on a road trip."
-1,"The Asian man struggled with his culture, feeling compelled to hide his background in fear that his friends may respond with rejection and disdain."
1,"With the grace and elegance of a swan, the black woman captivated the audience and the judges, triumphantly rewarding her first place in the dance competition. "
0,"No one knew where the white woman was and no one seemed to care, but that was how she preferred it."
-1,"With a rough upbringing and lack of financial means, the white man felt hopeless that he would go to college or have a bright future."
-1,"I got into a heated argument with a black man that suddenly escalated to a violent confrontation, so much so that I genuinely feared for my life."
